City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,0,ZA,1603248844,81,-33.93,18.42,51.01,3.36
Seymchan,36,RU,1603248893,90,62.88,152.43,21.65,4.09
São José da Coroa Grande,84,BR,1603248638,84,-8.9,-35.15,76.15,7.72
Qaanaaq,58,GL,1603248894,83,77.48,-69.36,20.57,5.82
Butaritari,34,KI,1603248894,72,3.07,172.79,82.51,9.13
Karlskoga,100,SE,1603248895,93,59.33,14.52,46.4,6.93
Twante,90,MM,1603248896,83,16.72,95.93,80.6,5.82
Port Elizabeth,4,ZA,1603248855,87,-33.92,25.57,50.0,2.24
Yima,57,CN,1603248897,27,34.74,111.88,63.99,10.42
Lagoa,52,PT,1603248898,68,39.05,-27.98,63.12,25.03
Albany,100,US,1603248898,88,42.6,-73.97,55.0,3.65
Hilo,90,US,1603248705,58,19.73,-155.09,82.4,8.05
Yārāda,40,IN,1603248900,83,17.65,83.27,82.4,4.7
Ushuaia,40,AR,1603248828,75,-54.8,-68.3,41.0,5.12
Bonavista,99,CA,1603248900,78,48.65,-53.11,55.99,5.01
Poso,99,ID,1603248900,53,-1.4,120.75,89.4,4.16
Mgachi,99,RU,1603248901,51,51.05,142.27,51.06,14.74
Beruwala,8,LK,1603248902,79,6.48,79.98,81.9,11.56
Ruwi,0,OM,1603248902,56,23.6,58.55,69.8,3.36
Bahía Honda,97,CU,1603248903,85,22.9,-83.16,76.24,11.65
Khatanga,81,RU,1603248903,95,71.97,102.5,6.76,8.28
Rocha,100,UY,1603248626,72,-34.48,-54.33,52.68,10.04
Barrow,90,US,1603248904,86,71.29,-156.79,28.4,13.87
Atuona,80,PF,1603248824,76,-9.8,-139.03,77.86,15.82
Thompson,90,CA,1603248905,85,55.74,-97.86,24.8,2.24
Bilibino,99,RU,1603248905,94,68.05,166.44,21.79,2.37
Berlevåg,96,NO,1603248625,80,70.86,29.09,36.93,1.5
Alofi,90,NU,1603248669,78,-19.06,-169.92,77.0,19.46
Lerwick,100,GB,1603248906,81,60.15,-1.15,48.2,27.51
Arbazh,100,RU,1603248907,96,57.68,48.31,30.88,12.68
Carnarvon,40,AU,1603248907,56,-24.87,113.63,73.4,19.46
Bluff,40,NZ,1603248907,59,-46.6,168.33,57.0,11.01
Byron Bay,0,AU,1603248907,56,-28.65,153.62,81.0,12.75
Avarua,100,CK,1603248907,88,-21.21,-159.78,75.2,6.93
Piaçabuçu,14,BR,1603248908,82,-10.41,-36.43,74.79,7.83
Kieta,99,PG,1603248908,68,-6.22,155.63,84.56,4.81
Busselton,7,AU,1603248802,37,-33.65,115.33,73.0,3.83
Katsuura,18,JP,1603248909,47,35.13,140.3,70.0,5.99
Price,1,US,1603248910,23,39.6,-110.81,64.4,10.29
Vardø,75,NO,1603248911,86,70.37,31.11,30.2,6.93
Jamestown,90,US,1603248838,100,42.1,-79.24,48.99,5.82
Puerto Ayora,96,EC,1603248912,93,-0.74,-90.35,69.01,7.0
Klaksvík,29,FO,1603248647,75,62.23,-6.59,41.0,8.05
Mehamn,91,NO,1603248912,84,71.04,27.85,35.35,1.79
Laguna,1,US,1603248913,40,38.42,-121.42,73.0,4.76
Marystown,100,CA,1603248913,100,47.17,-55.15,60.01,7.0
Esmeralda,54,CU,1603248913,94,21.85,-78.12,77.0,5.82
Ulladulla,20,AU,1603248913,50,-35.35,150.47,77.0,13.87
Ōzu,40,JP,1603248914,60,33.5,132.55,71.6,11.41
Nezhinka,0,RU,1603248914,92,51.77,55.37,23.0,8.59
Rūdsar,90,IR,1603248914,88,37.14,50.29,66.2,1.99
Kaeo,97,NZ,1603248914,69,-35.1,173.78,63.54,7.27
Dingle,62,PH,1603248915,80,11.0,122.67,84.27,15.77
Severo-Kuril'sk,62,RU,1603248915,65,50.68,156.12,42.48,30.38
Holbeach,100,GB,1603248915,90,52.8,0.01,55.0,1.01
Mayo,1,US,1603248915,100,38.89,-76.51,62.6,3.6
San Cristobal,40,VE,1603248753,88,7.77,-72.22,77.0,3.36
Hong Kong,37,HK,1603248805,65,22.29,114.16,78.01,1.01
Inírida,84,CO,1603248916,90,3.87,-67.92,75.47,1.32
High Level,90,CA,1603248917,68,58.52,-117.14,24.8,3.36
Alghero,20,IT,1603248917,93,40.56,8.32,50.0,4.7
Hermanus,0,ZA,1603248917,84,-34.42,19.23,51.01,3.0
Vavuniya,31,LK,1603248918,66,8.75,80.5,84.11,9.28
Fuerte Olimpo,38,PY,1603248918,86,-21.04,-57.87,73.71,4.68
Abhā,0,SA,1603248919,25,18.22,42.51,55.4,6.93
Northam,100,GB,1603248919,93,51.03,-4.22,57.0,5.99
Fort Nelson,20,CA,1603248846,72,58.81,-122.7,17.6,4.7
Bouaké,40,CI,1603248920,100,7.69,-5.02,71.6,4.7
Anori,44,BR,1603248920,78,-3.77,-61.64,78.13,0.6
Nome,40,US,1603248920,80,64.5,-165.41,41.0,8.05
Pacific Grove,1,US,1603248805,87,36.62,-121.92,61.0,3.36
Burns Lake,100,CA,1603248914,96,54.23,-125.75,28.74,1.57
East London,0,ZA,1603248922,66,-33.02,27.91,56.97,5.32
Zhangaözen,99,KZ,1603248922,64,43.3,52.8,46.6,3.15
Florianópolis,75,BR,1603248792,100,-27.61,-48.5,72.0,8.05
Khovd,0,MN,1603248923,72,48.01,91.64,35.04,2.15
São Filipe,70,CV,1603248923,69,14.9,-24.5,82.33,4.0
Kaitangata,57,NZ,1603248853,53,-46.28,169.85,55.22,5.46
Plouzané,90,FR,1603248923,93,48.38,-4.62,59.0,6.93
Sur,0,OM,1603248924,57,22.57,59.53,77.11,4.36
Rawson,0,AR,1603248924,59,-43.3,-65.1,50.67,16.44
Bilma,0,NE,1603248924,18,18.69,12.92,76.1,3.31
Hithadhoo,46,MV,1603248648,80,-0.6,73.08,82.15,13.4
Petropavlovsk-Kamchatskiy,0,RU,1603248925,36,53.05,158.65,44.6,20.13
Sal Rei,40,CV,1603248926,88,16.18,-22.92,78.8,10.29
Mayumba,100,GA,1603248926,88,-3.43,10.66,76.75,6.04
Dickinson,75,US,1603248927,88,29.46,-95.05,77.0,10.29
Alyangula,0,AU,1603248927,46,-13.85,136.42,91.4,12.75
Mount Gambier,90,AU,1603248927,59,-37.83,140.77,62.6,10.29
Broome,90,US,1603248928,100,42.25,-75.83,51.01,4.7
Pevek,74,RU,1603248928,95,69.7,170.31,30.96,15.59
Waddān,0,LY,1603248928,81,29.16,16.14,59.74,6.89
North Bend,1,US,1603248661,87,43.41,-124.22,57.0,8.05
Khani,93,GE,1603248929,93,41.96,42.96,57.2,3.36
Camaná,62,PE,1603248929,76,-16.62,-72.71,61.86,3.89
Bredasdorp,0,ZA,1603248929,93,-34.53,20.04,39.2,3.36
Tezu,49,IN,1603248930,65,27.92,96.17,79.32,0.85
Mar del Plata,0,AR,1603248930,87,-38.0,-57.56,52.0,6.11
Dubai,0,AE,1603248827,64,25.26,55.3,73.4,2.24
Mount Isa,0,AU,1603248905,13,-20.73,139.5,98.6,4.7
Beloha,0,MG,1603248847,76,-25.17,45.05,65.25,3.36
Chabahar,0,IR,1603248932,67,25.29,60.64,59.0,6.93
Hamilton,90,US,1603248743,93,39.18,-84.53,55.99,5.01
Vostok,100,RU,1603248933,42,46.49,135.88,53.74,7.36
Erzin,33,TR,1603248933,82,36.96,36.2,62.6,3.36
Careiro da Várzea,33,BR,1603248934,69,-3.2,-59.81,82.4,5.82
Sinnamary,100,GF,1603248934,81,5.38,-52.95,79.7,12.06
Isangel,75,VU,1603248935,62,-19.55,169.27,84.2,9.17
Gornopravdinsk,95,RU,1603248935,92,60.05,69.9,33.69,4.85
Ponta Delgada,20,PT,1603248935,72,37.73,-25.67,59.0,12.75
Ōmagari,20,JP,1603248936,55,39.45,140.48,60.8,8.05
Krasnosel'kup,100,RU,1603248937,98,65.7,82.47,26.38,10.63
Ponta do Sol,20,PT,1603248937,68,32.67,-17.1,66.2,3.36
Xinzhi,0,CN,1603248937,28,36.5,111.7,58.23,11.95
Port Keats,6,AU,1603248938,58,-14.25,129.55,89.19,8.93
Obo,96,CF,1603248939,97,5.4,26.49,66.99,3.58
Souillac,40,MU,1603248850,83,-20.52,57.52,73.4,10.29
Khirkiya,3,IN,1603248941,75,22.17,76.86,80.24,3.49
Itarema,0,BR,1603248761,78,-2.92,-39.92,78.69,16.28
Nanortalik,100,GL,1603248942,91,60.14,-45.24,35.13,18.1
Sefophe,0,BW,1603248943,70,-22.18,27.97,66.81,21.81
Grindavik,75,IS,1603248943,70,63.84,-22.43,35.6,5.82
Bengkulu,39,ID,1603248943,62,-3.8,102.27,85.08,4.16
Upernavik,100,GL,1603248944,95,72.79,-56.15,32.43,3.09
Torbay,75,CA,1603248852,93,47.67,-52.73,59.0,19.46
Cidreira,78,BR,1603248920,94,-30.18,-50.21,68.41,5.95
Frumuşiţa,0,RO,1603248945,62,45.67,28.07,46.53,8.57
Saldanha,0,ZA,1603248945,81,-33.01,17.94,42.8,4.7
Huron,100,US,1603248945,94,41.15,-82.55,51.01,3.0
Dvinskoy Bereznik,75,RU,1603248946,98,62.86,42.71,25.74,5.59
San Quintín,2,MX,1603248946,90,30.48,-115.95,66.29,11.97
Chui,100,UY,1603248946,72,-33.7,-53.46,58.15,13.47
Tuktoyaktuk,90,CA,1603248946,92,69.45,-133.04,23.0,17.22
Bull Savanna,100,JM,1603248947,88,17.89,-77.59,75.74,9.37
Aklavik,90,CA,1603248947,92,68.22,-135.01,23.0,8.05
Cartagena,40,CO,1603248690,88,10.4,-75.51,80.6,1.63
Mana,96,GF,1603248947,79,5.66,-53.78,80.17,12.15
Ostrovnoy,100,RU,1603248948,82,68.05,39.51,36.27,12.93
Øksfjord,82,NO,1603248948,85,70.24,22.35,24.8,6.93
Geraldton,90,AU,1603248948,64,-28.77,114.6,69.8,19.46
Naraina,20,IN,1603248949,29,26.78,75.2,77.0,2.24
Marfino,75,RU,1603248949,74,55.7,37.38,35.01,8.95
Maniitsoq,100,GL,1603248950,89,65.42,-52.9,33.73,22.66
Dolores,0,AR,1603248950,65,-36.31,-57.68,42.33,7.4
Kostyantynivka,8,UA,1603248951,77,48.53,37.71,38.84,4.76
Necochea,0,AR,1603248832,93,-38.55,-58.74,41.0,7.16
Swan Hill,0,AU,1603248953,30,-35.34,143.55,76.75,7.14
Lavrentiya,97,RU,1603248942,94,65.58,-171.0,38.34,6.4
Tomatlán,75,MX,1603248953,92,19.93,-105.25,77.02,1.01
Leeton,94,AU,1603248953,28,-34.57,146.4,75.99,8.05
Pochutla,91,MX,1603248747,93,15.74,-96.47,78.01,1.99
Guarapuava,54,BR,1603248954,67,-25.4,-51.46,66.49,6.73
Taltal,11,CL,1603248955,68,-25.4,-70.48,58.5,1.99
Bethel,54,US,1603248955,97,41.37,-73.41,60.01,0.29
Soyo,97,AO,1603248955,84,-6.13,12.37,76.78,7.23
Constitución,33,CL,1603248754,78,-35.33,-72.42,51.06,13.58
Leningradskiy,34,RU,1603248955,84,69.38,178.42,35.2,8.37
Częstochowa,100,PL,1603248866,65,50.8,19.12,46.4,8.05
Visby,100,SE,1603248956,93,57.64,18.3,51.01,8.05
Pisco,3,PE,1603248956,82,-13.7,-76.22,63.0,12.75
Noyabrsk,100,RU,1603248956,99,63.2,75.45,32.5,7.67
San Patricio,20,US,1603248956,83,28.02,-97.52,78.01,10.29
Choma,0,ZM,1603248957,30,-16.81,26.95,67.15,5.26
Kalmunai,2,LK,1603248835,63,7.42,81.82,84.29,3.89
Usinsk,100,RU,1603248957,98,65.99,57.53,23.83,5.73
Half Moon Bay,40,US,1603248957,93,37.46,-122.43,73.4,3.36
Cherskiy,97,RU,1603248957,97,68.75,161.3,22.8,3.42
Zhezkazgan,69,KZ,1603248958,48,47.8,67.71,45.1,7.54
San Francisco,20,US,1603248865,63,37.77,-122.42,69.8,9.17
Makakilo City,1,US,1603248958,70,21.35,-158.09,84.2,8.05
Edd,0,ER,1603248731,69,13.93,41.69,82.6,1.86
Revelstoke,90,CA,1603248959,100,50.98,-118.2,37.4,3.13
Ankazoabo,0,MG,1603248959,50,-22.28,44.52,68.47,6.55
Diphu,44,IN,1603248959,78,25.83,93.43,79.38,1.74
Linqing,0,CN,1603248959,25,36.85,115.71,63.64,12.97
Yangi Marg`ilon,0,UZ,1603248959,37,40.43,71.72,53.6,9.17
Nosy Varika,22,MG,1603248960,82,-20.58,48.53,72.21,5.88
Labu-o,75,PH,1603248960,55,7.11,125.05,89.6,8.05
Polunochnoye,93,RU,1603248960,97,60.87,60.42,28.74,4.9
Qasigiannguit,100,GL,1603248960,95,68.82,-51.19,33.8,9.17
Uarini,98,BR,1603248960,91,-2.99,-65.11,76.35,0.51
Itinga,99,BR,1603248961,73,-16.61,-41.77,75.0,4.16
Atbasar,100,KZ,1603248961,47,51.8,68.33,46.29,7.65
Richards Bay,65,ZA,1603248735,79,-28.78,32.04,66.67,5.84
Nevers,100,FR,1603248963,63,46.99,3.16,62.6,17.22
Bambanglipuro,31,ID,1603248963,74,-7.95,110.28,83.61,7.43
Atlantis,0,ZA,1603248964,81,-33.57,18.48,51.01,3.36
Hualmay,46,PE,1603248964,82,-11.1,-77.61,62.92,7.4
Nabire,100,ID,1603248964,89,-3.37,135.48,77.43,3.49
Santa Vitória do Palmar,99,BR,1603248726,74,-33.52,-53.37,58.37,13.42
Salta,90,AR,1603248965,77,-24.79,-65.41,66.2,6.93
Tessalit,0,ML,1603248966,17,20.2,1.01,79.11,9.95
Ugoofaaru,88,MV,1603248966,79,5.67,73.0,81.75,12.66
Nicoya,100,CR,1603248966,90,10.15,-85.45,75.49,1.92
São João da Barra,66,BR,1603248967,87,-21.64,-41.05,72.23,9.15
Zelenoborskiy,95,RU,1603248967,97,66.84,32.36,30.13,5.86
Sitka,75,US,1603248701,75,57.05,-135.33,42.8,2.86
Puerto Santander,100,CO,1603248968,95,8.36,-72.41,75.18,1.25
Abingdon,100,GB,1603248969,87,51.67,-1.28,59.0,8.05
Faanui,11,PF,1603248969,80,-16.48,-151.75,79.07,13.96
Acapulco de Juárez,75,MX,1603248970,83,16.86,-99.89,84.2,5.82
Skjervøy,56,NO,1603248971,80,70.03,20.97,36.1,16.22
Newport,100,GB,1603248971,98,51.59,-3.0,60.01,4.7
Sabha,20,LY,1603248971,65,27.04,14.43,65.66,11.88
Bandarbeyla,0,SO,1603248971,68,9.49,50.81,78.67,8.9
Kavaratti,84,IN,1603248737,70,10.57,72.64,82.04,8.14
Passos,84,BR,1603248922,92,-20.72,-46.61,65.19,4.43
Karratha,81,AU,1603248972,25,-20.74,116.85,89.22,12.64
Aripuanã,16,BR,1603248974,68,-9.17,-60.63,77.97,0.4
Koumac,3,NC,1603248974,61,-20.57,164.28,77.86,7.67
Kyra,3,RU,1603248975,75,49.58,111.98,28.4,13.65
Yulara,0,AU,1603248975,17,-25.24,130.99,93.2,3.36
Ati,0,TD,1603248975,15,13.22,18.34,81.86,9.86
Tahoua,0,NE,1603248976,14,14.89,5.27,84.88,7.56
Antalaha,100,MG,1603248976,80,-14.9,50.28,72.99,10.56
Dwārka,0,IN,1603248977,75,22.24,68.97,84.49,9.1
Hīt,0,IQ,1603248977,38,33.64,42.83,70.75,6.82
Reporoa,97,NZ,1603248936,80,-38.43,176.35,66.99,8.01
Kokopo,52,PG,1603248977,75,-4.35,152.26,82.78,2.95
Centerville,90,US,1603248849,93,39.63,-84.16,57.2,5.82
Luwuk,56,ID,1603248978,56,-0.95,122.79,86.7,7.58
Iqaluit,90,CA,1603248978,96,63.75,-68.51,32.0,13.87
Ambilobe,86,MG,1603248978,74,-13.2,49.05,73.44,3.71
Esmeraldas,90,BR,1603248979,93,-19.76,-44.31,64.4,1.12
Westport,90,US,1603248755,100,41.14,-73.36,63.0,0.69
Carutapera,56,BR,1603248979,87,-1.2,-46.02,76.46,5.68
Bay Roberts,100,CA,1603248969,98,47.6,-53.26,57.99,18.99
Boulder,1,US,1603248980,53,40.08,-105.35,50.0,1.19
Talnakh,49,RU,1603248801,92,69.49,88.4,6.8,2.24
Acajutla,94,SV,1603248980,100,13.59,-89.83,70.0,3.31
Slonim,100,BY,1603248981,78,53.09,25.32,44.87,12.66
Deputatsky,100,RU,1603248981,95,69.3,139.9,10.35,1.79
Dāmghān,0,IR,1603248982,44,36.17,54.35,51.93,0.72
Zhigansk,100,RU,1603248982,96,66.77,123.37,19.02,0.38
Merauke,24,ID,1603248982,65,-8.47,140.33,86.32,12.33
Katangli,59,RU,1603248983,52,51.71,143.23,48.02,10.2
Kichera,62,RU,1603248983,82,55.94,110.1,27.36,4.61
Presidencia Roque Sáenz Peña,34,AR,1603248983,69,-26.79,-60.44,78.75,9.62
Hofn,27,IS,1603248983,74,64.25,-15.21,35.78,6.33
Ribeira Grande,74,PT,1603248984,65,38.52,-28.7,63.46,24.54
Qaqortoq,100,GL,1603248984,86,60.72,-46.03,30.2,2.24
Pando,34,UY,1603248984,54,-34.72,-55.95,53.6,17.22
Harbour Breton,99,CA,1603248985,100,47.48,-55.8,60.01,7.0
Wanning,80,CN,1603248985,77,18.8,110.4,75.9,15.79
Oranjestad,20,AW,1603248731,94,12.52,-70.03,75.2,4.7
Seoul,90,KR,1603248986,59,37.57,126.98,62.6,4.25
Welkom,36,ZA,1603248986,70,-27.99,26.71,61.03,13.91
Rāmgarh,0,IN,1603248980,83,23.63,85.52,73.4,2.84
Port Blair,48,IN,1603248987,78,11.67,92.75,83.46,15.23
Estación Coahuila,5,MX,1603248988,14,32.19,-115.0,87.8,4.7
Brigantine,90,US,1603248988,100,39.41,-74.36,62.6,3.36
Verkh-Suetka,2,RU,1603248988,59,53.3,80.05,42.21,10.42
Tazovsky,100,RU,1603248989,98,67.47,78.7,20.44,16.75
Castro,41,BR,1603248826,91,-24.79,-50.01,62.1,5.55
Kontagora,0,NG,1603248990,66,10.4,5.47,73.72,3.11
Sola,46,VU,1603248990,80,-13.88,167.55,79.52,13.02
Doha,0,QA,1603248990,57,25.29,51.53,78.8,5.82
Māngrol,11,IN,1603248991,75,21.12,70.12,83.48,6.89
Ellisras,0,ZA,1603248991,57,-23.66,27.74,68.94,20.02
George,0,ZA,1603248991,93,-33.96,22.46,48.2,3.36
Tete,1,MZ,1603248992,44,-16.16,33.59,77.0,5.35
Dombarovskiy,72,RU,1603248992,75,50.76,59.54,38.25,12.95
Sindou,25,BF,1603248992,81,10.67,-5.17,73.47,2.1
Xinqing,98,CN,1603248993,52,48.23,129.5,56.95,16.15
Chilia Veche,0,RO,1603248993,70,45.42,29.28,37.4,4.72
Chokurdakh,61,RU,1603248993,96,70.63,147.92,8.89,4.79
Porto-Novo,72,BJ,1603248994,92,6.5,2.6,77.05,5.93
Tabory,2,RU,1603248994,99,58.52,64.55,29.23,4.68
Norman Wells,90,CA,1603248995,85,65.28,-126.83,23.0,16.11
Suntar,66,RU,1603248995,92,62.14,117.63,23.16,4.85
Muros,76,ES,1603248843,91,42.78,-9.06,59.0,11.01
Brae,100,GB,1603248995,81,60.4,-1.35,48.2,27.51
Bitkine,0,TD,1603248996,28,11.98,18.21,76.37,2.48
Saint George,1,US,1603248731,11,37.1,-113.58,75.2,4.7
Gweru,0,ZW,1603248996,33,-19.45,29.82,63.7,6.53
Alice Springs,20,AU,1603248763,21,-23.7,133.88,95.0,20.8
Yeppoon,90,AU,1603248997,51,-23.13,150.73,82.4,12.75
Hammerfest,3,NO,1603248997,92,70.66,23.68,24.8,6.93
Port Pirie,32,AU,1603248997,43,-33.18,138.02,73.4,6.93
Yuli,48,NG,1603248997,69,9.7,10.27,73.72,0.89
La Ronge,90,CA,1603248998,73,55.1,-105.28,24.8,4.7
Iskateley,98,RU,1603248889,98,67.68,53.15,28.29,11.27
Lake City,75,US,1603248998,100,30.19,-82.64,73.99,4.7
Dassel,100,DE,1603248998,88,51.8,9.69,53.01,8.08
Kavieng,99,PG,1603248999,78,-2.57,150.8,81.48,8.61
Dejen,0,ET,1603248999,79,10.17,38.13,48.04,3.67
Arrondissement de Laon,100,FR,1603249000,87,49.57,3.67,54.0,9.17
Cabo San Lucas,5,MX,1603249000,83,22.89,-109.91,84.0,12.75
Santa Fe,100,AR,1603248860,73,-31.63,-60.7,57.99,8.01
Nadym,100,RU,1603249001,98,65.53,72.52,26.26,4.88
Morant Bay,20,JM,1603249001,83,17.88,-76.41,78.8,8.05
Concordia,91,AR,1603249002,74,-31.39,-58.02,55.0,11.99
Najrān,0,SA,1603249002,29,17.49,44.13,60.8,2.24
Niamey,0,NE,1603249002,27,13.51,2.11,86.23,10.54
Roald,100,NO,1603249002,93,62.58,6.13,41.0,14.99
Karavayevo,75,RU,1603249003,74,55.3,37.96,35.6,8.95
Talara,1,PE,1603249003,85,-4.58,-81.27,64.45,14.32
Usoke,54,TZ,1603249003,81,-5.17,32.35,68.47,1.1
Kahului,20,US,1603248777,40,20.89,-156.47,89.6,11.41
Labuhan,28,ID,1603249004,60,-6.88,112.21,86.97,4.7
Fairbanks,90,US,1603248794,85,64.84,-147.72,23.0,0.72
Pontes e Lacerda,100,BR,1603249004,88,-15.23,-59.34,72.86,2.24
Skellefteå,100,SE,1603249004,92,64.75,20.95,30.2,8.05
Gravdal,13,NO,1603249005,72,68.12,13.5,39.18,10.25
Lubango,9,AO,1603249005,60,-14.92,13.49,60.37,1.95
Cockburn Town,89,TC,1603248767,79,21.46,-71.14,81.63,14.76
Naze,75,JP,1603248921,74,28.37,129.48,80.6,16.11
Hervey Bay,90,AU,1603249005,47,-25.3,152.85,78.8,10.29
Cururupu,88,BR,1603249006,86,-1.83,-44.87,75.83,3.74
Iquique,90,CL,1603248939,68,-20.22,-70.14,64.4,3.36
Airai,18,TL,1603249006,33,-8.93,125.41,81.3,5.48
Santarém,20,BR,1603249007,78,-2.44,-54.71,80.6,4.7
Baykit,99,RU,1603249007,94,61.67,96.37,26.55,2.33
Nampa,82,US,1603249007,58,43.54,-116.56,55.99,0.83
Vao,99,NC,1603249008,83,-22.67,167.48,73.47,13.22
Pathein,100,MM,1603249009,92,16.78,94.73,77.88,14.7
Eyrarbakki,40,IS,1603249009,82,63.86,-21.15,37.4,5.82
Lander,1,US,1603249009,49,42.83,-108.73,46.4,1.36
Omboué,100,GA,1603249010,88,-1.57,9.26,76.53,6.35
Poções,97,BR,1603249010,97,-14.53,-40.37,65.01,4.5
Colinas,95,BR,1603248922,45,-6.03,-44.25,81.86,0.98
Kochevo,97,RU,1603249010,99,59.6,54.31,31.14,4.07
Vetlanda,100,SE,1603249011,100,57.43,15.08,48.2,8.05
Dikson,93,RU,1603249011,97,73.51,80.55,24.39,4.59
Rovaniemi,75,FI,1603249011,100,66.5,25.72,23.0,0.51
Olivenza,27,ES,1603249012,88,38.68,-7.1,60.01,3.0
Port Hardy,75,CA,1603249012,87,50.7,-127.42,46.4,2.24
Vila Velha,75,BR,1603249013,94,-20.33,-40.29,72.0,5.82
Goderich,100,CA,1603249013,84,43.75,-81.72,46.0,17.6
Nikolskoye,90,RU,1603249014,92,59.7,30.79,30.99,2.24
Taveta,28,KE,1603249014,80,-3.4,37.67,66.29,2.08
Mandlā,3,IN,1603249014,71,22.6,80.38,78.37,3.31
Ancud,0,CL,1603249014,75,-41.87,-73.82,45.0,9.17
Kavos,100,GR,1603249015,87,38.83,22.83,59.0,1.01
Anadyr,90,RU,1603249015,70,64.75,177.48,44.6,17.9
Bourail,65,NC,1603249016,60,-21.57,165.48,78.04,5.53
Taoudenni,0,ML,1603249016,19,22.68,-3.98,77.61,10.16
Khandyga,100,RU,1603249016,88,62.67,135.6,19.44,5.41
Loikaw,81,MM,1603249016,81,19.67,97.21,71.47,2.71
Parfino,100,RU,1603249017,95,57.97,31.65,32.54,3.78
Laas,20,IT,1603249017,93,46.62,10.7,48.99,5.82
Sydney,20,AU,1603248672,53,-33.87,151.21,73.99,23.04
Mahibadhoo,80,MV,1603249017,78,3.78,72.97,82.69,13.49
Angoche,0,MZ,1603249018,88,-16.23,39.91,72.86,5.3
Cardston,20,CA,1603249018,92,49.2,-113.3,35.6,3.36
Epe,73,NG,1603249019,96,6.58,3.98,75.87,3.74
Caravelas,99,BR,1603249019,94,-17.71,-39.25,72.61,1.14
Ghanzi,27,BW,1603248905,24,-21.57,21.78,68.36,10.2
Chifeng,0,CN,1603248854,49,42.27,118.96,45.68,17.98
Esik,0,KZ,1603249019,29,43.36,77.45,51.8,2.24
Tuatapere,48,NZ,1603248736,59,-46.13,167.68,57.0,11.01
